RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.35367665723356584,56,0,0.19290655591328068,23735.66072985397,6,0,2,2,2,0
0.2485580660782393,60,0,0.4050413664900294,22169.85934846053,8,0,1,1,1,0
0.4159590873381714,57,0,0.24104194300246432,91269.85723415359,6,1,0,0,3,0
0.15996757580999196,93,1,0.1572788146342582,60690.06642425874,4,0,0,0,0,0
0.5502830780616322,44,0,0.2557651172848914,43316.660390202844,8,1,2,0,0,0
0.11094528759339801,70,0,0.47409115296388177,15728.21309266501,6,0,0,0,2,0
0.5098966417920571,51,0,1.0390645469541828,23881.33233487063,8,0,1,0,1,0
0.17727037947274454,39,0,0.27675839345480724,114615.04110428496,7,0,1,0,0,0
0.19829047191334442,48,0,0.49331271425034473,20721.25954809756,11,0,2,0,2,0
0.37623678821354994,54,0,0.49901405426828954,17160.355563210363,11,0,3,0,0,0
0.5434668040445325,57,1,0.7959317026425511,53452.318150621504,5,0,0,0,0,0
0.08476376294265023,57,0,0.1236699290354208,55076.48062643104,6,0,3,0,0,0
0.3579287927839609,39,1,1.1115250442432592,46652.245932671845,5,0,0,0,1,0
0.2733207739503824,36,0,0.45252580212238885,46013.235459460106,11,0,0,0,0,0
0.13437614109485027,48,0,0.7119083524127858,12308.307483176046,5,0,0,0,0,0
0.35325485000480755,61,0,0.4860781276416726,36130.018512615694,10,1,1,0,0,0
0.13279012143275798,49,0,0.7023599166448359,11974.31155485524,9,0,0,0,1,0
0.32643436842516804,37,1,0.05370985177481362,58748.37494091049,8,0,1,0,0,1
0.1658104012585459,64,0,0.009874194059185881,33293.74279099781,14,0,1,0,0,0
0.207734214505591,61,0,0.09646877668904241,18117.756539021546,6,0,0,0,0,0
0.26340848808284784,49,2,0.15070799226169287,6642.154957643106,6,1,2,0,0,1
0.39001433036648914,41,1,0.0024433693582289243,228430.00606798485,7,1,2,0,2,0
0.15364547000727538,50,0,0.11152272391039274,8335.033273373298,5,1,1,0,0,0
0.30550235119832064,64,0,0.03664159917121451,5012.034654136563,8,0,0,0,1,0
0.203313881265596,54,0,0.5187575690182691,18480.163726318067,4,0,1,1,0,0
0.18387687608823067,61,0,0.03231603791366379,,9,0,3,0,0,0
0.36782408723548077,71,1,0.06029177701904621,43727.31229105994,6,0,3,0,0,0
0.20209676646387698,56,1,0.17948112357380167,13289.532077225875,4,0,2,0,1,0
0.18633950452881945,58,1,0.5419972407495378,16485.992977521848,7,0,1,0,1,0
0.2835202997539891,78,0,0.9107100735079178,30792.325487950788,14,0,0,0,1,0
0.10039930306621214,62,0,0.015974027473697375,13033.416884005537,7,0,2,0,0,0
0.20772938916523406,58,0,0.02786409756025169,12275.068471088829,11,0,2,0,0,0
0.3096377073595142,75,0,0.07297904951590664,35446.70370251047,5,0,1,0,2,0
0.0443858001226034,54,2,0.3789737568941967,36665.54088918921,4,0,2,0,1,0
0.12457921344554526,38,0,0.11699465003350998,14818.809684976834,7,0,1,0,0,0
0.21100332015818626,59,0,0.017225377203388813,20134.1416451418,6,0,4,0,4,0
0.3581887554246956,45,0,0.4568338962077371,40174.15387942446,8,0,3,0,0,0
0.6522422663601021,48,0,0.15174066468578498,58571.37887230835,13,1,0,0,0,1
0.16226602605678067,51,2,0.000873275939725312,15705.70955449415,10,0,0,0,4,0
0.0694242954698856,77,0,0.4270742301877115,17512.607632908774,6,0,0,0,0,0
0.076848080809821,32,0,0.13694306710493967,47438.91755753197,9,0,1,0,0,0
0.1744335165862888,41,0,0.3279827310644341,28206.39781584471,8,0,2,0,0,0
0.5434537469656785,96,1,0.1225648994421345,14780.694630687105,8,0,0,1,0,0
0.061653913446673224,30,0,0.023862070126628585,16898.50689661215,6,0,0,0,0,0
0.23568650663126414,69,0,0.3005553941059722,43466.15862900181,5,0,1,1,0,0
0.31329412667520323,49,0,0.056175371069227105,,5,1,1,0,0,0
0.15258331470398612,55,0,0.1089522021887645,37769.49481559212,17,2,1,0,0,1
0.38688633601837824,23,0,0.44981624036175377,27096.09990272141,6,0,1,0,0,0
0.4845897602554896,64,0,0.2041057925094093,11981.08650827761,6,0,2,1,3,0
0.09593877797328496,79,0,0.024491929099904323,15056.884155296157,6,0,2,0,0,0
0.3662241584833629,73,0,0.05901333581652534,30256.682202556076,6,0,4,0,0,0
0.29837284269070247,33,0,0.057417932960406835,58051.97725749128,10,0,1,0,1,0
0.2237663665214278,54,0,0.2540975721486503,18939.090133944923,2,0,2,1,2,0
0.1642916485213648,82,0,0.19740232746533073,37921.564779037544,3,0,2,0,1,0
0.46138582746288664,64,0,0.10704898136653816,191124.04084211163,10,0,3,0,1,0
0.09832146075036968,61,0,1.4459715579097956,19129.7889772789,3,1,1,0,0,0
0.179247512983417,47,1,0.09239533668611852,59952.831134282394,9,0,1,0,1,0
0.34301873259799726,39,3,0.1902009745999146,23212.978113181136,10,0,2,0,0,1
0.2746698380360602,46,0,0.1057999310715171,39590.98232396592,11,1,0,0,0,0
0.4432945779277498,44,1,0.1400757374799642,,9,0,1,0,1,0
0.13272443189522465,63,0,0.10906498991175562,26438.51734762615,2,0,0,0,2,0
0.4006430877209991,53,0,0.04119856569696037,13457.870279226267,11,0,0,0,1,0
0.32259603850098684,58,0,0.9840961676521405,42182.83761489433,7,1,1,0,1,0
0.2923618255131976,31,0,0.44716772386897485,122944.1371824425,12,0,0,0,0,0
0.11357697325263676,62,1,0.45694213137422657,43260.23503930513,7,0,1,1,2,0
0.34155895722546276,58,0,0.000610741240672721,53773.46448882219,10,0,2,0,1,0
0.16999587395941756,37,1,0.19443382941293175,55910.195675592215,7,0,0,0,2,0
0.8014732049023443,53,1,0.1986838292710895,,10,0,1,0,0,0
0.13177062408757453,18,1,0.039784084311239296,10162.881385387867,8,0,2,0,0,0
0.12549965919150205,49,1,0.2823535498964157,31192.413474638775,13,0,2,0,0,0
0.3370138954716539,70,0,0.06006247503465942,8659.550748010332,9,0,1,0,1,0
0.03439862200520179,36,2,0.7661641431045942,88398.76427722891,9,0,2,0,2,0
0.15937752033309405,61,0,0.044588021216742574,41711.0458923997,6,0,3,0,1,0
0.2615158445906097,34,1,0.089037857375742,27033.90277724876,9,2,1,0,1,0
0.2491194021961276,40,0,0.05483709864714076,12316.601597418183,10,0,0,0,3,0
0.0685869246308145,47,0,0.3340776357525121,21461.86072352165,10,0,1,0,2,0
0.45950640724990544,64,2,0.31896456008837093,9392.972598293858,3,0,4,0,0,1
0.5414781386117564,49,0,0.31361329623004036,41586.26585912167,9,0,1,0,1,0
0.26059606181093153,50,0,0.11439952110770125,32114.838860471697,13,1,0,0,3,0
0.06753590748378506,53,0,0.06697831068063761,27170.216790652423,8,0,1,0,0,0
0.04676883497272682,43,0,0.6183527480958481,20160.084976755516,12,0,0,0,0,0
0.12713147658095109,50,1,0.10283001128021375,35865.59881474875,7,1,1,1,1,0
0.3265987258278122,22,0,0.22561390610700094,16475.252145970775,5,0,1,0,0,0
0.11912486541113898,38,1,0.1443459610875311,28204.864774567,6,1,2,1,0,0
0.10776704550146234,63,0,0.1887589803633074,8284.41393006801,8,1,2,0,1,0
0.32460102630740867,51,0,0.5991978767932318,16088.852486322427,9,1,1,0,2,0
0.21935449118475614,63,1,0.3629547100775943,26306.840062213316,11,0,2,0,1,0
0.30479223202169464,43,0,0.25358380658994084,39656.460804113674,6,0,0,0,0,0
0.403730071467841,51,0,0.0218109040439582,12021.60289016136,9,0,0,0,0,0
0.18412892169781056,66,1,0.23150588882132528,82417.36546395249,10,0,0,0,0,0
0.23447365948588197,55,0,0.04964266150683384,57500.796393960016,11,0,0,0,4,0
0.175068748991844,26,1,0.12345105407117851,9340.337631428796,4,0,1,0,1,0
0.2673316734797696,69,1,0.18096827534736917,66193.59090053405,10,0,1,0,0,0
0.238699744225137,68,0,0.31221150990385904,58219.38903563317,5,0,0,0,2,0
0.32579561073076047,57,0,0.008177426852047176,26387.926779524383,8,0,0,1,0,0
0.4434878606676832,55,0,0.2015556901701732,43869.70920763548,7,0,1,1,0,0
0.3855671372233749,51,1,0.3395030146465544,7764.721353829538,6,0,2,0,0,0
0.09615258168656671,26,0,0.3243986552254673,71331.5131605324,4,0,0,0,1,0
0.2089847738799713,56,0,0.2850379217274241,56657.87876607155,3,0,0,0,0,0
0.16619623428044838,25,0,0.21795150430053284,5731.639403141503,5,0,0,0,2,0
0.22721487350505115,59,0,0.05085286926075557,25972.057023235524,10,0,0,0,0,0
0.47592049646427265,37,0,0.18820922848118435,10591.455208118148,10,0,0,0,0,0
0.11588479103164939,55,0,0.3565527310825761,50928.25934124533,10,0,1,0,2,0
0.1718540724955221,36,0,0.00019218369882550266,51446.524933316774,8,0,0,1,0,0
0.24093580883068486,80,1,0.2191352599943057,100184.83666656635,6,1,0,0,0,0
0.19658545353951162,51,0,0.08323782878482854,65680.58722769552,10,1,0,0,1,0
0.15450740124203077,63,0,0.40717415344390445,34256.44136098095,7,0,0,1,0,0
0.3024753876496196,82,1,0.2682138313249667,22851.7772467135,5,0,0,0,1,0
0.2628503990216566,63,0,0.032498622219896016,15439.751894585792,8,0,2,1,3,0
0.17838548982713634,44,0,0.3794234688902795,25672.40668504798,8,0,0,0,0,0
0.07140336869412171,30,0,0.0751502399062044,217962.57834020603,9,0,2,0,0,0
0.36804793518398216,50,0,0.0050984666262331915,59483.53730869137,9,0,0,0,1,0
0.16500239921085022,58,0,0.8721583844564363,22465.46503837012,8,0,1,1,0,0
0.6463769483914986,20,0,1.7319996750326265,40907.964950353584,9,0,0,2,4,1
0.5031230845032987,73,0,0.07944402344546204,38016.45033261204,6,0,3,0,4,0
0.40864698504559716,30,0,0.2117820702050953,6828.717134435193,10,0,0,0,2,0
0.3784719386186747,61,0,0.012332583045621416,,5,0,1,0,1,0
0.4808171104256128,30,0,0.6806876154274034,10592.255089611295,13,0,2,0,0,0
0.45015277145501226,52,1,0.12887164385993857,58008.8624777536,12,0,0,0,3,0
0.31485465592718676,40,1,0.15146363701577914,51393.86173533547,6,0,0,0,1,0
0.3458306244455384,38,0,0.23511120472357072,53126.73241318387,10,0,1,0,1,0
0.5386521682270735,42,1,0.1371960002235581,136245.41005574935,7,0,1,0,1,0
0.30617217969438143,26,1,0.08404941198617197,13755.036449373352,11,0,1,0,0,0
0.14558813424442504,57,0,1.0814962018270429,,11,0,0,0,0,0
0.4518857472364912,47,0,0.31707808771006357,,9,0,1,0,0,0
0.35993742481792457,50,0,0.21246915052584278,,9,0,0,0,2,0
0.06190643377169209,51,0,0.2135918059595397,27066.370028830457,9,0,1,0,1,0
0.2328545928203029,78,0,0.18993252493800264,19911.571869861,9,1,2,1,3,0
0.19208246644942936,18,0,0.10927109969736934,78353.63075412117,11,0,0,0,1,0
0.5199092769591175,58,0,0.03395996022726811,20819.371542921082,8,0,2,1,0,0
0.22019437403991562,41,0,0.6175381375346005,4151.747469698786,11,0,2,0,0,0
0.13772023575141254,38,1,0.2512672145059393,11660.518041961051,6,0,0,1,0,0
0.47197128618272305,28,0,0.14130724771647765,93298.53685448754,4,1,1,0,0,0
0.1588460545173127,75,1,0.056070821022231356,67488.94543399007,11,0,2,0,2,0
0.059689475270839516,64,0,0.29638406448324833,8004.170144056656,11,1,2,0,1,0
0.34081565965226834,37,0,0.20349650540773906,119428.55277620938,14,0,1,0,0,0
0.30664861826340883,72,0,0.0014112412482728588,55970.085339875906,9,0,1,0,0,0
0.2789555071166884,77,0,0.13095217681426963,30957.13696414329,9,0,0,1,1,0
0.3288097857207583,49,0,0.022213111606079115,22767.30762804942,10,0,1,0,0,0
0.40649018963913885,48,0,0.39250825750646046,5213.883646653202,10,0,0,1,0,0
0.32345967824352123,41,0,0.09636901742984005,56628.270168540694,7,0,0,0,0,0
0.18134288505174043,61,0,0.0555574562017534,7258.197019372328,7,1,1,0,2,0
0.11034442080402906,37,0,0.08215375943279069,39324.9122837426,5,0,1,0,0,0
0.06261134174457317,53,0,0.07237420007006978,34184.300818640164,10,0,0,0,0,0
0.3893738659278771,54,0,0.12079564571890969,39097.20921113023,5,0,2,0,2,0
0.22081199239815466,71,0,0.745828618999128,5481.926915432891,11,0,1,0,0,0
0.17057746068742893,72,0,0.636604692423766,16482.178719609215,2,0,0,0,0,0
0.06763603384706811,34,0,0.5990221536274115,15890.125974745695,8,0,1,0,0,0
0.20636937130196562,67,0,0.10753268479018764,24471.96404537902,8,0,0,0,0,0
0.35879012288277545,43,0,0.15943957957334945,21267.026483797945,9,0,0,0,1,0
0.316899984774653,67,1,0.08255701590752175,38880.696833049034,10,0,2,0,2,0
0.1365637082251592,49,0,0.4775416544585416,42503.672064725695,11,0,0,0,1,0
0.21708374305025172,46,0,0.029732471360889086,5571.519785112669,8,0,2,0,0,0
0.1363792431986001,33,0,0.7236155836298207,20953.307028784973,5,0,1,0,1,0
0.06373493040686784,58,0,0.006167010053911565,5495.984944198907,8,0,0,0,1,0
0.5785716282335199,43,0,0.49237953220631486,,5,0,0,0,0,0
0.16737543318713216,73,0,0.3266567834874362,18642.39416471332,11,0,0,0,1,0
0.485750585203021,61,1,0.030330832279775507,31486.41931152518,8,0,1,0,0,0
0.2231288814404552,69,0,0.38774835471376995,12029.027952466407,8,0,2,0,2,0
0.37344884728495387,81,0,0.0752251666104874,14727.15823930336,5,0,0,0,0,0
0.38660756941930585,41,0,0.7265072834851066,78880.39378001147,5,0,0,0,0,0
0.29103929254547434,18,0,0.7314794392034424,63527.22937089423,12,0,1,0,1,0
0.3584957567261279,44,0,0.5093342935711361,73291.5964305082,8,0,1,0,2,0
0.36884852544610003,51,0,0.17007011681559728,10670.927392300298,7,0,1,0,0,0
0.43385584819172346,81,1,0.539628530042801,249301.20357972488,7,0,4,0,0,0
0.05932432661715326,46,0,0.5585245699394483,36093.533895849425,7,0,1,0,2,0
0.15373830274583952,64,0,0.06702265569403895,115234.57410835724,8,0,0,0,1,0
0.690927168796683,47,0,0.4724299725789065,28670.967286629155,5,1,0,1,0,1
0.04927096831835294,30,0,0.13973579397519048,15434.870557052916,7,0,1,0,1,0
0.18591584017139418,48,1,0.07285251043995829,55119.57504950916,14,1,0,1,1,1
0.2715695031402613,51,0,0.04175421940560268,12654.497330245364,8,0,1,0,1,0
0.3219105263709601,60,0,0.11132809485061025,18634.016842132693,8,0,4,0,1,0
0.48209428949031524,55,0,0.9361507390368303,6656.344719751811,7,0,2,0,2,0
0.319706275524256,55,1,1.128791559968378,,7,0,2,0,2,0
0.4916099383257625,79,1,0.3426754978313384,15320.558219797955,4,1,1,0,1,0
0.18417297086710416,36,0,0.27214742077155196,51084.221482259076,7,0,1,0,1,0
0.029392249773945323,60,0,0.42874455433250724,23831.249135178965,10,2,1,0,1,1
0.43832440071116074,61,0,0.003938062373941116,13305.833215376519,6,0,2,0,0,0
0.22019917819165558,65,0,0.1706904673631383,,9,0,2,0,4,0
0.1272898020531447,40,0,0.07495029980615696,8027.890693770526,7,0,0,0,0,0
0.5623099425360222,70,1,0.24566467805933864,45948.475709815604,6,0,0,0,0,0
0.1351692568264888,36,1,0.5249499742630298,20645.31710421432,14,1,2,1,1,1
0.18926525270317185,44,0,0.07014072217467539,21145.88949847265,6,0,3,0,2,0
0.2788522124309327,47,0,0.026163158041653853,13111.126342862713,8,0,3,0,0,0
0.2584988688589334,63,0,0.05606555879044673,4870.70922238207,11,0,1,0,0,0
0.1713624183536284,65,1,0.1540667726629194,22736.637840550688,7,1,0,0,1,0
0.3902904125361203,41,0,0.09467648806567486,44941.5059952166,6,0,0,1,0,0
0.13884092876465817,64,0,0.013358363660147312,14148.773995352007,8,0,0,0,0,0
0.4659217194194351,53,0,0.12847634891205517,70686.1242670403,3,2,2,0,1,1
0.6157519764816631,54,0,0.670091756185891,117133.50712414307,9,0,1,0,2,0
0.3073799210471541,50,0,0.16013200168753594,13509.4012253782,7,0,0,0,1,0
0.3116610941567272,91,1,0.6226383916177752,69768.93759338638,8,0,3,0,0,0
0.1347012643177103,64,0,0.014274750793067842,26615.751669095596,10,1,0,0,0,0
0.7239031844967967,67,0,0.12480029452025454,34866.689860688435,9,0,1,0,3,0
0.11910027770778647,57,0,0.4388240824455952,24143.878143067355,6,0,3,0,2,0
0.28538578892011157,44,0,0.3522236640565795,97311.41162367012,14,0,1,0,1,0
0.514309690041867,56,0,0.38115311074601577,15375.359743994673,5,1,1,0,0,1
0.15648979507517,71,0,0.22460291961714526,78466.89320622079,6,0,1,0,1,0
0.26055752603134724,70,0,0.6082005306368294,33795.40919535612,10,0,1,0,1,0
0.13981359053542353,62,0,0.006189008462866353,14978.359532980572,6,0,4,0,1,0
0.388093991336372,48,0,0.9192418983567126,16965.85229614846,15,0,1,0,1,0
0.4641645770320866,67,0,0.4165078837735811,14858.429860092874,7,0,1,0,2,1
0.12845804774166797,44,1,0.37954959656890774,198800.42347675032,12,0,1,1,0,0
0.0552063959733059,43,0,0.3753792625830252,32707.837817256834,9,0,0,0,0,0
0.017279127080126834,47,1,0.3565908363942217,32099.45011435297,11,0,2,0,0,1
0.15924986868506363,35,0,0.4010864529157825,8892.783023158161,10,0,2,0,1,0
0.2667449952728772,61,0,0.30640848149918215,53569.42658050001,9,0,1,0,1,0
0.529692033598347,75,0,0.2702412182980518,73781.42349000505,10,0,4,1,0,0
0.3071017670062408,48,0,1.0609959547579173,12693.004660403469,9,1,1,0,3,0
0.2504805636294226,74,2,0.05351526256488792,137326.7609762721,6,0,1,1,1,0
0.40355832138751585,41,0,0.055432250547362484,32475.085078184442,5,0,0,0,0,0
0.3696214928596068,48,0,0.15137677574101951,15583.872747956384,5,0,0,0,0,0
0.22078097776764183,43,0,1.2601190977686534,47217.4274886234,8,0,0,0,0,0
0.09074148599417395,74,0,0.21422343075554343,57682.957758637516,6,0,2,1,2,0
0.42629856137072764,48,0,0.02592492716994894,16158.409559773723,9,0,0,0,1,0
0.3076570372812911,34,0,0.013187824253042654,187653.8496414774,5,0,1,1,1,0
0.08686886954251043,72,0,0.8869635198881749,80526.34731996022,4,1,0,0,0,0
0.31988267906477214,44,1,0.003384456479879875,38877.50795346312,9,0,0,0,1,0
0.17245945458117015,61,1,0.5433500739033494,13951.85252282943,4,0,0,0,0,0
0.5236077465948994,40,1,1.1993174955703791,10564.462180960494,14,1,0,0,1,1
0.14411306049989406,69,0,0.038271200039006074,27800.889188966466,9,0,1,1,1,0
0.4369016405600799,67,0,0.08667465882583414,74750.94592242432,10,0,1,0,1,0
0.5620366156958401,41,0,0.008584826113492086,30553.244589267204,13,0,1,0,1,0
0.20388080864478686,72,1,0.6572152752773689,39260.66083374894,13,1,3,0,0,0
0.26526006970231497,35,0,0.3317523758414039,42560.128645189914,7,1,0,0,0,1
0.342996453032718,68,0,0.08146792526348655,104207.47478625379,9,0,1,0,1,0
0.3081745146780117,66,0,0.20114848515692302,9514.629764684178,10,0,0,0,0,0
0.07847640863395768,64,1,0.009540825715010418,14250.69816909805,9,0,0,1,2,0
0.20417842853949858,57,0,0.045138407267897994,81918.5559460845,9,0,0,0,1,0
0.46757480171249854,42,0,0.2131218989895709,23606.331568477653,10,1,2,0,0,0
0.22444388214291414,56,0,0.20180046848024574,25406.298347368698,7,0,1,0,0,0
0.5642742600782021,58,1,0.2453342764093821,344596.16500675736,9,0,1,0,1,0
0.45836380319932735,28,1,0.35046314442288656,112922.85058706427,9,0,1,0,0,0
0.22873235215695734,62,1,0.15418509553157927,27560.782180366718,11,1,0,0,0,0
0.19416253232713945,42,0,0.03276223833652001,14973.893391369165,8,0,0,0,1,0
0.11404878475035836,31,1,0.6514592066585115,40015.7308522962,9,1,0,0,1,1
0.11886389807223895,31,1,0.01217004880277247,71572.76809048561,7,0,1,0,2,0
0.22430032560849703,60,0,0.555420449753748,84238.98934033522,8,0,0,0,1,0
0.1748455929095408,38,1,0.2745002951048376,82028.95832975165,7,0,1,0,0,0
0.23810184430754955,48,0,0.5319017287367159,22333.689940801185,9,0,3,1,0,0
0.43794334939116214,35,0,0.29078106820955024,17621.327924990972,11,0,2,0,3,0
0.3050820962749862,71,0,0.5718178411560252,20219.41197225207,6,0,0,0,0,0
0.4110151238583872,49,2,0.8556521535335829,24320.860584893588,11,0,0,1,2,0
0.23841138620236768,47,0,0.2688589433909696,172482.48511957022,6,0,1,0,1,0
0.30555856203807996,52,0,0.056894572029818784,14168.525039246077,8,0,0,0,1,0
0.22431198667381724,42,0,0.2588393342408945,69291.60986676598,11,0,1,1,0,0
0.22830350418430012,45,0,0.03785765210062568,56194.48802558741,7,0,0,0,1,0
0.601389322500987,57,0,1.318339638237529,23572.900362525193,10,0,0,0,2,0
0.1861016376343618,84,2,0.20706742340873033,232326.43337278586,5,0,1,1,3,0
0.33223765339141825,87,0,0.4655587582120257,24006.70617500979,4,0,0,0,1,0
0.1535906531023021,69,0,0.04901979105356649,19513.326715640145,6,1,0,0,1,0
0.5895945688191788,45,1,1.12936369167161,55534.865566134366,9,0,2,1,2,0
0.13601113584966545,45,1,0.05779879420174298,33487.90364859011,9,0,0,0,2,0
0.1452923245069306,44,1,0.1963081213316917,12078.797307301727,11,1,3,1,1,1
0.4696325075583425,53,1,0.5225180527303747,34049.69889949931,11,0,1,0,0,0
0.34705488787399064,55,0,0.19513902315156662,12284.761499183276,10,0,0,0,0,0
0.2243778179558153,51,0,0.07386643767136429,27699.736406407763,5,0,0,0,0,0
0.380680807328598,76,0,0.33833829901128926,100173.48504388925,8,0,0,0,1,0
0.25273846971971753,34,0,0.009606854191770034,22484.66885600445,10,1,1,0,1,0
0.19184179202086682,58,0,0.11177896358452771,17969.154093272748,6,1,3,0,0,0
0.21777087913042306,73,0,0.41119950273672345,18890.784392916095,10,0,0,0,0,0
0.5469541833338392,46,0,0.3908016406330656,52033.5667590045,8,1,2,0,1,1
0.43202781936331336,55,0,0.1383494947217131,53038.23871094021,3,0,0,1,2,0
0.337528941637207,54,0,0.2990334547473368,17094.798502066784,4,0,0,0,1,0
0.2801225539599779,41,0,0.11043747541519551,104804.45937776957,5,0,0,0,0,0
0.20469271636460634,53,0,0.23307977925745968,12608.021329158573,7,0,1,0,2,0
0.19782889115756616,18,0,0.34219783255617525,22827.628815278684,12,0,1,1,1,0
0.42009875160522375,61,0,0.12984853655223844,18235.123276234288,9,0,0,1,0,0
0.0945684310647346,39,0,0.023095276382260586,46636.43099044052,9,0,3,0,0,0
0.0683369109310005,61,0,0.01234290278353325,128946.63217762561,14,0,0,0,0,0
0.37337115119161546,47,0,1.179656496067003,27337.194443569955,16,0,1,0,2,0
0.18149745939782988,49,0,0.0028284522440905394,44533.17004383903,10,0,1,0,0,0
0.4688203508208859,56,0,0.008550832495633032,121044.00592114795,7,0,3,1,2,0
0.4418376196321603,56,0,0.08739534346933349,110140.27262181904,10,0,2,1,0,0
0.27311956524215825,59,0,0.17936122936309962,14206.597644101548,4,0,1,0,1,0
0.4417392325829916,77,1,0.6873812537845839,27640.701935120996,7,0,1,0,2,1
0.45149946593464635,42,0,0.07281628478603545,5393.174544314096,7,1,2,1,2,0
0.5143025110676812,84,1,0.2816616107711799,153821.3697802079,7,0,0,0,3,0
0.19848042283768558,48,1,0.15058072201316708,30187.528674165667,7,0,0,0,0,0
0.05624495924290872,75,0,0.1841185709088817,59863.4741834758,15,0,3,1,3,0
0.013096916111202185,86,0,0.06499303587878717,11344.756753124328,5,0,1,0,0,0
0.4422153449338335,18,1,0.10731887255467733,12544.684138604629,6,0,3,0,0,0
0.2563288233480382,54,0,0.3950997823328,53544.87115149711,10,0,1,1,2,0
0.12008037150759632,51,0,0.11004798132292136,187323.23158108752,10,1,0,0,0,0
0.2906548683413762,45,0,0.386458668985516,25213.74109614897,9,0,2,0,1,0
0.248426499061781,33,0,0.43986593070035857,13923.398830423701,10,0,2,1,1,0
0.27311496256388507,46,0,0.39387319039187757,17254.839715928563,6,0,0,0,2,0
0.23103274537339663,60,2,0.01981749359796707,20534.46242941415,9,0,1,0,0,0
0.3977583849607771,53,1,0.3732855901257211,11468.030625992691,7,0,1,0,1,0
0.12280995074610727,27,0,0.037963726240429645,33844.95971358737,11,0,3,0,1,0
0.24431246570620366,67,0,0.09865158529041539,36761.12744560981,12,1,0,0,0,0
0.16905503117317644,54,0,0.2150842337882239,66165.99932970034,5,2,0,0,0,0
0.3630143517577401,85,0,0.7747490259930127,14441.916388573889,4,1,1,0,0,0
0.15939157930324252,42,1,0.44262259956375594,22845.376069608596,9,0,0,0,1,0
0.09801246109614241,26,0,0.3833414566124163,5892.3477778008255,7,0,0,0,2,0
0.32587444392919906,36,0,0.18691607441240643,19974.01912253124,3,0,0,0,2,0
0.3065108052415546,47,0,0.21636102730884438,7625.215615478745,7,0,1,0,2,0
0.07671218365016587,50,0,0.23786503161183745,13453.70560520323,9,0,0,0,1,0
0.4728620841435421,53,0,0.5006839880043717,49409.70874672317,8,0,0,0,0,0
0.31570110112731165,63,0,0.4982715499496989,22905.05785453858,7,0,0,0,0,0
0.20630964194203893,59,0,0.6700531191414725,7553.596118525191,11,0,2,0,1,0
0.03867293865424374,55,0,0.48267184135535557,10887.18541906442,13,1,0,0,0,0
0.4168670056078366,59,0,0.02602295281721857,36194.12297923482,4,0,1,1,0,0
0.30526408172006453,31,1,0.7502435482507944,54231.427995286256,11,0,1,2,0,0
0.360409463644948,29,0,0.488747054411338,59053.330213936235,16,0,2,1,0,0
0.31965237212640535,50,0,0.17461191570417808,12149.707093894502,5,0,2,0,0,0
0.06039203154803854,61,0,0.7645922591437913,8554.993955129261,13,0,2,0,0,0
0.21767561927151582,32,0,0.026432018747862537,31859.96902410434,10,0,0,0,1,0
0.4233910425225104,43,1,0.021674084913262264,13362.81859453694,7,0,0,0,0,0
0.08575359616064851,50,0,0.598692767487454,22223.80092375774,3,0,0,2,1,0
0.24114210026316804,77,0,0.42518077878956967,83508.13592877738,10,0,1,0,1,0
0.10682136950093098,50,1,0.05722035136724812,36852.87076178618,8,0,1,0,1,0
0.39399743206671656,39,0,0.07734004067803447,31498.772967102104,8,0,1,1,1,0
0.25572263337086576,34,0,0.5638893075567246,8103.978737034508,6,0,4,0,0,0
0.3840811292272226,26,0,0.16477566971044325,36431.57508524615,10,0,1,0,0,0
0.36614580595245383,30,0,0.3403741443335379,13483.39776140202,9,1,0,0,2,0
0.5816434885743039,69,2,0.0055832531004215424,9669.991362613557,8,0,0,0,1,0
0.5621775612709531,44,0,0.5802558329516617,41163.12577488412,6,1,0,0,1,0
0.08844444030069641,54,1,0.09277044900425714,27310.830659213723,8,0,1,1,1,0
0.3446235300029249,76,0,0.0038546868538390684,17034.578066730923,7,0,1,1,1,0
0.6095654722173228,53,1,0.7615757009838598,163822.77689032344,8,0,0,0,1,0
0.3141309765261968,46,0,0.29026068979092273,39943.97274009568,4,0,0,0,1,0
0.6479463612947148,57,0,0.19131177090030954,24810.994905869502,5,0,2,0,0,0
0.22650191954925245,65,0,0.4384652711027837,240213.01059795375,6,0,0,1,0,0
0.4532267059451018,56,0,0.4866032654342607,14302.854251645673,11,0,0,0,0,0
